rdfid,lineindex
c_ch2_simple_cout,4
c_ch2_simple_cout,5
c_ch2_simple_cout,6
c_ch2_simple_cout,7
c_ch2_simple_cout,8
c_ch2_string_variables,1
c_ch2_string_variables,2
c_ch2_string_variables,3
c_ch2_string_variables,5
c_ch2_string_variables,6
c_ch2_string_variables,7
c_ch2_string_variables,9
c_ch2_string_variables,10
c_ch2_string_variables,11
c_ch2_string_variables,12
c_ch2_using_variables,1
c_ch2_using_variables,2
c_ch2_using_variables,4
c_ch2_using_variables,5
c_ch2_using_variables,6
c_ch2_using_variables,8
c_ch2_using_variables,9
c_ch2_using_variables,10
c_ch2_using_variables,11
c_ch2_using_variables,13
c_ch2_using_variables,14
c_ch2_variable_types,1
c_ch2_variable_types,2
